,dist,sites,pi,xsi,pi2,theta_w,fwh,tajima,t1,t2,div
98,-501,22643078.0,0.00690313555613,0.772372047289,0.251324167684,0.00781118341079,0.00670250407939,-0.488010428874,0.010813,0.145418,0.0207258938937
167,501,42015179.0,0.00698373231155,0.77212981251,0.25223085448,0.0078904102198,0.006791713887,-0.482382301508,0.010896,0.146498,0.0208746225881
83,1501,20295753.0,0.00715430438757,0.770900589415,0.253035860367,0.00806915746872,0.0069347639168,-0.475948808536,0.010829,0.146330,0.0207358631427
48,2501,13669846.0,0.00722839968543,0.771745791885,0.251532338915,0.00816216576344,0.00699690398108,-0.480251788256,0.010780,0.145838,0.0206403210914
119,3501,10680203.0,0.00731964305212,0.771068060984,0.251043476042,0.00826611791734,0.00705986883908,-0.480665729543,0.010732,0.145729,0.0205349072943
26,4501,8835929.0,0.00736946487699,0.770928972718,0.253202400094,0.00832536468921,0.00715502804811,-0.481996813974,0.010658,0.145081,0.020398532988
40,5501,7516467.0,0.00750166338296,0.770715930016,0.250022388883,0.00846377553687,0.00720200708576,-0.47719517956,0.010630,0.145111,0.0203269715266
200,6501,6604024.0,0.00746358902582,0.770724466864,0.251388227674,0.00840761412807,0.00720902514017,-0.471351221475,0.010561,0.144776,0.0201966247827
30,7501,5896765.0,0.00757400210561,0.772273039423,0.250206634573,0.00854327925767,0.00733711404702,-0.47627385523,0.010492,0.145155,0.0200579478787
70,8501,5343751.0,0.0076372550805,0.77036373699,0.251907172509,0.00859420615286,0.00737031075142,-0.467430251058,0.010524,0.145806,0.0201326737453
94,9501,4847490.0,0.00772684203035,0.771116116192,0.253925871116,0.00869340590385,0.00752714883876,-0.466737743632,0.010436,0.145591,0.0199439283635
117,10501,4483148.0,0.00774608777019,0.772709215286,0.252904349838,0.00873446297409,0.00753641388938,-0.475026093516,0.010503,0.145185,0.0200671489061
157,11501,4153103.0,0.00781746741374,0.769749109407,0.251042950277,0.00877540890972,0.00750988024875,-0.458250496076,0.010407,0.145280,0.0198795940842
37,12501,3914757.0,0.00786700708438,0.769509482054,0.251111945678,0.00884916714677,0.00757592241121,-0.465919413384,0.010393,0.145481,0.01981655812
61,13501,3688831.0,0.00792473279475,0.771474725153,0.252134628028,0.00892243391825,0.00767758519345,-0.469404929527,0.010408,0.145201,0.0198366365125
151,14501,3403755.0,0.00790950613444,0.767992043158,0.250295736817,0.00887390069599,0.00751936974294,-0.456215438131,0.010367,0.145007,0.0198072436512
138,15501,3204907.0,0.00793850771563,0.76971313838,0.253784644656,0.00891208746619,0.00770951714021,-0.458586607669,0.010336,0.145377,0.0197281865661
27,16501,3061761.0,0.00795905741139,0.769350487482,0.253527239079,0.00891843571237,0.00767824870122,-0.451575161418,0.010486,0.145806,0.0199979683849
153,17501,2923677.0,0.00798936263803,0.768642811618,0.252124254433,0.00896683486453,0.00763515210088,-0.457608079782,0.010378,0.145242,0.0198202445732
0,18501,2781128.0,0.00799051395882,0.770692871253,0.252483084617,0.0089979260708,0.00772965248398,-0.469994403285,0.010266,0.146041,0.0195852194361
22,19501,2637207.0,0.00810435553898,0.768839832556,0.250993928956,0.00911061047221,0.00777775848232,-0.463647619988,0.010329,0.146113,0.0197136595447
133,20501,2527581.0,0.00798158189069,0.76973316555,0.250645541135,0.00900782918325,0.00763818352854,-0.478254155301,0.010320,0.145741,0.0197010525641
46,21501,2413541.0,0.00811033511168,0.770832107355,0.251021520936,0.00910095793275,0.00782957167886,-0.456927880328,0.010375,0.146259,0.0197978795832
87,22501,2311500.0,0.00814523947767,0.766480555196,0.256310818732,0.00911774724008,0.00780979860441,-0.447745722297,0.010322,0.145892,0.019691976767
33,23501,2237680.0,0.00807042162089,0.769047059387,0.251898974037,0.00906860630823,0.00777565322439,-0.462057238286,0.010365,0.146179,0.0197865618422
80,24501,2142005.0,0.00815830568974,0.767871059856,0.250651147409,0.00915705643907,0.00775997804379,-0.457853133048,0.010387,0.146610,0.0198127454777
84,25501,2063815.0,0.00810139933748,0.767465459982,0.25437758284,0.00910148968378,0.00774788089069,-0.46126564371,0.010341,0.146639,0.0197120395355
149,26501,1999006.0,0.00819661319044,0.769568186682,0.25662667613,0.00915643423922,0.0080329064326,-0.440035653814,0.010454,0.147375,0.0199289062669
12,27501,1939645.0,0.00824147554945,0.767300063479,0.250798325323,0.00925718779065,0.00777307749788,-0.460590847952,0.010507,0.146508,0.0200093340446
107,28501,1887388.0,0.00820187810656,0.766212380184,0.250710691717,0.00923915142795,0.00777734075319,-0.471285814507,0.010304,0.145729,0.0196589148999
112,29501,1827654.0,0.00816433468664,0.769319237403,0.251516119096,0.00918254586908,0.00780749028542,-0.465476110131,0.010322,0.146797,0.0196787801712
56,30501,1770018.0,0.00811658709864,0.771676443285,0.247846149906,0.00918933363961,0.00778083830096,-0.490044175715,0.010296,0.146156,0.0196314395164
8,31501,1701071.0,0.0081809914862,0.770104470985,0.255860966078,0.00916477111196,0.00796283941204,-0.450606664632,0.010220,0.145172,0.0195112384415
74,32501,1653352.0,0.00821492210657,0.771932759884,0.250911191205,0.00924857173286,0.00795821024313,-0.469158678221,0.010286,0.146037,0.0196219582575
193,33501,1625239.0,0.00819831810324,0.770658007652,0.250736864211,0.00925766487844,0.00790200858193,-0.480349648242,0.010428,0.146367,0.0198992281141
105,34501,1588464.0,0.00825063179206,0.769880107257,0.251193040974,0.00925763474545,0.00791804643347,-0.456615942439,0.010476,0.146724,0.0199721239172
73,35501,1529814.0,0.0083548581379,0.771351678339,0.247428336842,0.00936528917845,0.00801917100909,-0.452903180865,0.010343,0.147229,0.0197187366275
18,36501,1506085.0,0.0082563418609,0.768328208611,0.251265637143,0.00925644245248,0.00787923691118,-0.453543492699,0.010411,0.146231,0.0198508047833
142,37501,1439569.0,0.00838276485605,0.766482907855,0.249827582324,0.00936694271681,0.00791068925725,-0.441056709049,0.010305,0.146812,0.0196524085348
152,38501,1415476.0,0.00818120547434,0.769762581295,0.24965448904,0.00917291554142,0.0077967627033,-0.453832152816,0.010319,0.146516,0.0196901965099
188,39501,1384892.0,0.00823151400596,0.770045742626,0.24864178638,0.00929021066737,0.00784371286501,-0.478369767181,0.010391,0.146617,0.0198008230649
175,40501,1349381.0,0.00818636568604,0.771061777703,0.251266329741,0.00922742222735,0.00787457060339,-0.473599209055,0.010421,0.146047,0.0198831890452
97,41501,1308628.0,0.0082108895729,0.770680099391,0.253980715048,0.00929443326879,0.00795354796691,-0.489373047415,0.010364,0.146612,0.0197290580983
144,42501,1281571.0,0.00834302914979,0.76894742302,0.248663141318,0.00939124758217,0.00802258251868,-0.468537976693,0.010324,0.146606,0.0196891150728
7,43501,1262292.0,0.00827388424765,0.772962243925,0.25083247913,0.0093689917255,0.00802920462127,-0.490659021004,0.010469,0.146444,0.0199280344294
118,44501,1228923.0,0.00826645085082,0.772029672021,0.25194285247,0.00932039968814,0.00806360132486,-0.474679142506,0.010418,0.146306,0.0198653626964
132,45501,1184831.0,0.00830336051924,0.76805376637,0.250344392631,0.00934917627488,0.00790354913099,-0.46956550656,0.010330,0.146146,0.0196753798052
66,46501,1162944.0,0.00842759953686,0.77097353859,0.253360371685,0.00945605380446,0.00819599995637,-0.456550924755,0.010326,0.146497,0.0196380909089
102,47501,1137906.0,0.0083019714791,0.767664138838,0.25174803028,0.00933640172311,0.00792591967295,-0.465087850592,0.010317,0.145592,0.0196343109194
173,48501,1104668.0,0.00845460498444,0.766667749623,0.254532240471,0.00944228038236,0.00805688404632,-0.43908660414,0.010564,0.147753,0.020122786592
155,49501,1086334.0,0.00824123781646,0.769866772767,0.24795119531,0.00934813636936,0.00778501294445,-0.497044099513,0.010373,0.146396,0.019754515521
47,50501,1060278.0,0.00830050927061,0.770853049477,0.245495897134,0.00935801007443,0.00791495573663,-0.474360715333,0.010473,0.146110,0.0199155307438
163,51501,1042679.0,0.00831928845639,0.769279588207,0.246899571494,0.00934456997005,0.00785304575133,-0.460569129401,0.010559,0.146821,0.0200800059779
5,52501,1032061.0,0.00837199086407,0.770886713765,0.247512689955,0.00940738849658,0.00804264851032,-0.462007481696,0.010429,0.145439,0.0198796361998
39,53501,1025249.0,0.00843071703608,0.768722111223,0.256206795068,0.00945422254622,0.00816590630066,-0.454438626171,0.010345,0.146139,0.0196674154464
124,54501,1016530.0,0.00840428247386,0.766166843871,0.254045732086,0.00941219846305,0.00799283681254,-0.449514565543,0.010520,0.146536,0.0200426942619
60,55501,985296.0,0.00831659243837,0.76993936789,0.255085028708,0.00936441422003,0.00802523757499,-0.469695363641,0.010328,0.146712,0.019693572972
42,56501,975724.0,0.0084569536381,0.769330518067,0.25714217192,0.00950799051151,0.00825648242849,-0.464022285705,0.010409,0.147653,0.0198447541323
130,57501,958516.0,0.00830894072877,0.771332250292,0.253531574602,0.0093643256021,0.00807072914095,-0.47308917241,0.010380,0.147091,0.0197816220251
34,58501,943045.0,0.00817110083768,0.775339069499,0.249221528955,0.00929617215175,0.00794972767644,-0.508023527381,0.010548,0.148090,0.0201506820724
140,59501,927369.0,0.00820975083387,0.773104780136,0.242315698923,0.00931410515624,0.00781228303251,-0.497708170038,0.010555,0.146443,0.0200955595852
159,60501,902210.0,0.00830108406317,0.772921548457,0.248077121207,0.00940575534906,0.0079803057995,-0.492999297029,0.010548,0.147870,0.0200995322974
170,61501,895165.0,0.00832836757234,0.769409269595,0.256896472008,0.00939916988806,0.0080298006414,-0.478218576407,0.010469,0.147506,0.0199393417772
183,62501,892228.0,0.00832604033475,0.768162828671,0.24121845632,0.00939630662161,0.00776107300801,-0.478124710744,0.010425,0.146836,0.0198581520934
201,63501,874455.0,0.00832021388359,0.765332146256,0.248969833491,0.00939774892091,0.0078232660114,-0.481297313985,0.010514,0.148079,0.0200330468052
77,64501,856190.0,0.00845807097662,0.768732409826,0.247936009615,0.00951790180608,0.00805145551485,-0.467413150016,0.010477,0.149221,0.0199745386176
79,65501,849158.0,0.00846162656977,0.766838871096,0.257142986028,0.00946195323479,0.0082188596885,-0.443778414757,0.010668,0.148755,0.0203012860092
25,66501,827163.0,0.00835657860854,0.766963024674,0.248609348732,0.00938812278313,0.0078915407277,-0.461225203621,0.010436,0.146920,0.0198787906011
162,67501,816730.0,0.00830662971142,0.771129837116,0.249065971207,0.00936137183725,0.00795522863125,-0.47294453623,0.010418,0.148486,0.0198670330954
101,68501,799345.0,0.00856081179624,0.76985425471,0.250281381539,0.00957273061331,0.00812319544048,-0.443724368062,0.010474,0.147774,0.0199338197199
176,69501,796766.0,0.0083376192997,0.770091108559,0.249619671606,0.00940985158104,0.00794984794902,-0.47830929784,0.010486,0.148532,0.019994576675
116,70501,780230.0,0.00845720931142,0.771614555901,0.251747962612,0.00960530771579,0.00816349679696,-0.501730536943,0.010572,0.147374,0.0201107356728
